SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024022605000002,80,35,10.00,604.90,"6,049.00",2024-02-26
2,HRL,2024022605000004,80,6,10.00,604.90,"6,049.00",2024-02-26
3,HRL,2024022605000005,49,38,10.00,605.00,"6,050.00",2024-02-26
4,HRL,2024022605000006,49,42,30.00,605.00,"18,150.00",2024-02-26
5,HRL,2024022605000007,49,17,10.00,605.00,"6,050.00",2024-02-26
6,HRL,2024022605000009,80,21,20.00,604.90,"12,098.00",2024-02-26
7,HRL,2024022605000010,76,35,10.00,605.00,"6,050.00",2024-02-26
8,HRL,2024022605000011,76,47,10.00,607.00,"6,070.00",2024-02-26
9,HRL,2024022605000012,76,38,20.00,607.00,"12,140.00",2024-02-26
10,HRL,2024022605000013,76,58,10.00,607.00,"6,070.00",2024-02-26
11,HRL,2024022605000014,76,83,10.00,607.60,"6,076.00",2024-02-26
12,HRL,2024022605000015,80,11,10.00,604.90,"6,049.00",2024-02-26
13,HRL,2024022605000017,7,83,10.00,607.60,"6,076.00",2024-02-26
14,HRL,2024022605000018,76,35,20.00,610.00,"12,200.00",2024-02-26
15,HRL,2024022605000019,37,38,10.00,605.00,"6,050.00",2024-02-26
16,HRL,2024022605000024,76,35,10.00,610.00,"6,100.00",2024-02-26
17,HRL,2024022605000025,6,25,10.00,606.00,"6,060.00",2024-02-26
18,HRL,2024022605000027,37,55,10.00,605.20,"6,052.00",2024-02-26
19,HRL,2024022605000029,37,66,10.00,605.20,"6,052.00",2024-02-26
20,HRL,2024022605000030,37,36,10.00,605.20,"6,052.00",2024-02-26
21,HRL,2024022605000033,13,58,10.00,605.30,"6,053.00",2024-02-26
22,HRL,2024022605000034,35,34,10.00,606.00,"6,060.00",2024-02-26
23,HRL,2024022605000035,35,55,10.00,606.00,"6,060.00",2024-02-26
24,HRL,2024022605000036,35,49,4.00,615.00,"2,460.00",2024-02-26
25,HRL,2024022605000037,35,57,10.00,606.00,"6,060.00",2024-02-26
26,HRL,2024022605000038,35,42,10.00,606.00,"6,060.00",2024-02-26
27,HRL,2024022605000039,35,50,10.00,606.00,"6,060.00",2024-02-26
28,HRL,2024022605000040,35,58,20.00,606.00,"12,120.00",2024-02-26
29,HRL,2024022605000041,76,35,10.00,609.00,"6,090.00",2024-02-26
30,HRL,2024022605000042,35,58,40.00,606.00,"24,240.00",2024-02-26
31,HRL,2024022605000043,35,58,10.00,606.00,"6,060.00",2024-02-26
32,HRL,2024022605000045,35,35,10.00,606.00,"6,060.00",2024-02-26
33,HRL,2024022605000046,35,77,20.00,606.00,"12,120.00",2024-02-26
34,HRL,2024022605000047,48,77,10.00,606.00,"6,060.00",2024-02-26
35,HRL,2024022605000048,76,35,10.00,609.00,"6,090.00",2024-02-26
36,HRL,2024022605000052,40,58,20.00,606.10,"12,122.00",2024-02-26
37,HRL,2024022605000053,40,36,20.00,606.10,"12,122.00",2024-02-26
38,HRL,2024022605000054,40,66,10.00,606.10,"6,061.00",2024-02-26
39,HRL,2024022605000055,48,56,10.00,606.00,"6,060.00",2024-02-26
40,HRL,2024022605000056,76,35,10.00,609.00,"6,090.00",2024-02-26
41,HRL,2024022605000057,48,45,10.00,606.00,"6,060.00",2024-02-26
42,HRL,2024022605000058,48,17,10.00,606.00,"6,060.00",2024-02-26
43,HRL,2024022605000059,48,58,10.00,606.00,"6,060.00",2024-02-26
44,HRL,2024022605000060,70,47,30.00,606.00,"18,180.00",2024-02-26
45,HRL,2024022605000061,29,47,70.00,605.40,"42,378.00",2024-02-26
46,HRL,2024022605000065,29,36,20.00,605.40,"12,108.00",2024-02-26
47,HRL,2024022605000066,29,91,10.00,605.40,"6,054.00",2024-02-26
48,HRL,2024022605000067,76,34,10.00,608.90,"6,089.00",2024-02-26
49,HRL,2024022605000068,6,58,10.00,605.40,"6,054.00",2024-02-26
50,HRL,2024022605000069,6,49,10.00,605.40,"6,054.00",2024-02-26
51,HRL,2024022605000071,6,36,20.00,605.40,"12,108.00",2024-02-26
52,HRL,2024022605000072,6,46,10.00,605.40,"6,054.00",2024-02-26
53,HRL,2024022605000073,43,46,20.00,605.40,"12,108.00",2024-02-26
54,HRL,2024022605000075,13,28,20.00,605.30,"12,106.00",2024-02-26
55,HRL,2024022605000076,13,41,20.00,605.30,"12,106.00",2024-02-26
56,HRL,2024022605000077,76,22,20.00,605.40,"12,108.00",2024-02-26
57,HRL,2024022605000078,76,34,10.00,608.90,"6,089.00",2024-02-26
58,HRL,2024022605000083,13,50,10.00,605.30,"6,053.00",2024-02-26
59,HRL,2024022605000084,13,28,10.00,605.30,"6,053.00",2024-02-26
60,HRL,2024022605000085,13,25,20.00,605.30,"12,106.00",2024-02-26
61,HRL,2024022605000086,13,42,10.00,605.30,"6,053.00",2024-02-26
62,HRL,2024022605000087,21,42,10.00,605.30,"6,053.00",2024-02-26
63,HRL,2024022605000090,76,34,10.00,608.90,"6,089.00",2024-02-26
64,HRL,2024022605000091,76,35,10.00,609.00,"6,090.00",2024-02-26
65,HRL,2024022605000099,21,57,10.00,605.30,"6,053.00",2024-02-26
66,HRL,2024022605000102,76,35,10.00,609.00,"6,090.00",2024-02-26
67,HRL,2024022605000103,21,58,30.00,605.30,"18,159.00",2024-02-26
68,HRL,2024022605000104,76,46,10.00,608.00,"6,080.00",2024-02-26
69,HRL,2024022605000105,18,46,10.00,608.00,"6,080.00",2024-02-26
70,HRL,2024022605000106,18,35,50.00,609.00,"30,450.00",2024-02-26
71,HRL,2024022605000107,18,34,140.00,609.00,"85,260.00",2024-02-26
72,HRL,2024022605000108,37,57,10.00,605.20,"6,052.00",2024-02-26
73,HRL,2024022605000109,76,34,10.00,609.00,"6,090.00",2024-02-26
74,HRL,2024022605000115,25,42,20.00,605.30,"12,106.00",2024-02-26
75,HRL,2024022605000116,25,32,10.00,605.30,"6,053.00",2024-02-26
76,HRL,2024022605000117,25,38,20.00,605.30,"12,106.00",2024-02-26
77,HRL,2024022605000118,25,49,10.00,605.30,"6,053.00",2024-02-26
78,HRL,2024022605000119,25,55,30.00,605.30,"18,159.00",2024-02-26
79,HRL,2024022605000120,76,1,10.00,606.00,"6,060.00",2024-02-26
80,HRL,2024022605000121,25,34,20.00,605.30,"12,106.00",2024-02-26
81,HRL,2024022605000122,25,55,20.00,605.30,"12,106.00",2024-02-26
